Name,Power,W/m2,Diameter,hub height [m],Noise @ 3m/s [dB],Noise @ 4m/s [dB],Noise @ 5m/s [dB],Noise @ 6m/s [dB],Noise @ 7m/s [dB],Noise @ 8m/s [dB],Noise @ 9m/s [dB],Noise @ 10m/s [dB],Noise @ 11m/s [dB],Noise @ 12m/s [dB],Valid,Company,Variant,Sec. power,Def. hub height,Edit date
,,,,,wind speed at 10m,,,,,,,,,,,,,,,
Siemens SWT-DD-142 3900 142.0 !O!,3 900,246.3,142,,,,,,,,,,,,Yes,Siemens,SWT-DD-142,,109,12.02.2018
VESTAS V112-3.3 Gridstreame 3300 112.0 !O!,3 300,335,112,84.0 ,88.7,95.2,100.7,104.7,106.5,106.5,106.5,106.5,106.5,106.5,106.5,VESTAS,V112-3.3 Gridstreame,,84,17.08.2016
VESTAS V112-3.3 Gridstreame 3300 112.0 !O!,3 300,335,112,94.0 ,89.1,96.6,101.4,105.1,106.5,106.5,106.5,106.5,106.5,106.5,106.5,VESTAS,V112-3.3 Gridstreame,,84,17.08.2016
VESTAS V112-3.3 Gridstreame 3300 112.0 !O!,3 300,335,112,119.0 ,90.0,96.5,102.0,105.6,106.5,106.5,106.5,106.5,106.5,106.5,106.5,VESTAS,V112-3.3 Gridstreame,,84,17.08.2016
VESTAS V112-3.3 Gridstreame 3300 112.0 !O!,3 300,335,112,140.0 ,90.5,97.3,102.7,105.9,106.5,106.5,106.5,106.5,106.5,106.5,106.5,VESTAS,V112-3.3 Gridstreame,,84,17.08.2016
VESTAS V126-3.0 3000 126.0 !O!,3 000,240.6,126,,91.7,92.0,94.5,97.4,101.4,105.1,107.9,108.5,108.4,108.4,Yes,VESTAS,V126-3.0,,117,17.08.2016
VESTAS V136-3.45  3450 136.0 !O!,3 450,237.5,136,82.0,94.1,98.4,103.1,106.9,108.2,108.2,108.2,108.2,108.2,108.2,Yes,VESTAS,V136-3.45,,132,19.08.2020
VESTAS V136-3.45  3450 136.0 !O!,3 450,237.5,136,112.0,94.6,99.2,103.9,107.6,108.2,108.2,108.2,108.2,108.2,108.2,Yes,VESTAS,V136-3.45,,132,19.08.2020
VESTAS V136-3.45  3450 136.0 !O!,3 450,237.5,136,132.0,94.8,99.6,104.4,107.9,108.2,108.2,108.2,108.2,108.2,108.2,Yes,VESTAS,V136-3.45,,132,19.08.2020
VESTAS V136-3.45  3450 136.0 !O!,3 450,237.5,136,142.0,95.0,99.8,104.6,108.1,108.2,108.2,108.2,108.2,108.2,108.2,Yes,VESTAS,V136-3.45,,132,19.08.2020
VESTAS V136-3.45  3450 136.0 !O!,3 450,237.5,136,149.0,95.0,99.9,104.7,108.1,108.2,108.2,108.2,108.2,108.2,108.2,Yes,VESTAS,V136-3.45,,132,19.08.2020
VESTAS V136-3.45  3450 136.0 !O!,3 450,237.5,136,,,,,,,,,,,,No,VESTAS,V136-3.45,,132,17.03.2017
VESTAS V136-4.0 4000 136.0 !O!,4 000,275.4,136,,,,,,,,,,,,Yes,VESTAS,V136-4.0,,112,19.08.2020
VESTAS V90 3000 90.0 !O!,3 000,471.6,90,80.0,,97.9,100.9,104.2,106.1,107.0,106.9,105.6,105.2,105.3,Yes,VESTAS,V90,,80,11.11.2013
VESTAS V90 3000 90.0 !O!,3 000,471.6,90,90.0,,98.0,101.3,104.5,106.2,107.0,106.9,105.4,105.2,105.3,Yes,VESTAS,V90,,80,11.11.2013
VESTAS V90 3000 90.0 !O!,3 000,471.6,90,105.0,,98.2,101.6,105.0,106.4,107.0,106.7,105.3,105.2,105.4,Yes,VESTAS,V90,,80,11.11.2013
VESTAS V90 60Hz 3000 90.0 !O!,3 000,471.6,90,80.0,,97.9,100.9,104.2,106.1,107.0,106.9,105.6,105.2,105.3,Yes,VESTAS,V90,,80,04.07.2012
VESTAS V90 60Hz 3000 90.0 !O!,3 000,471.6,90,105.0,,98.2,101.6,105.0,106.4,107.0,106.7,105.3,105.2,105.4,Yes,VESTAS,V90,,80,04.07.2012
BWU MD 70 1500 70.0 !O!,1 500,389.8,70,,,,,,,,,,,,No,BWU,MD 70,,65,10.03.2004
ENERCON E-66/15.66 1500 66.0 !O!,1 500,438.4,66,,,,,,,,,,,,No,ENERCON,E-66/15.66,,67,15.09.2011
ENERCON E-82 E4 3000 82.0 !O!,3 000,568.1,82,,,,,,,,,,,,Yes,ENERCON,E-82 E4,,58.9,09.06.2022
ENERCON E-82 E4 TES 2350 82.0 !O!,2 350,445,82,,,,,,,,,,,,Yes,ENERCON,E-82 E4 TES,,58.9,09.06.2022
ENERCON E-82 E4 TES 3000 82.0 !O!,3 000,568.1,82,,,,,,,,,,,,Yes,ENERCON,E-82 E4 TES,,58.9,09.06.2022
FUHRLÄNDER FL MD 70 1500 70.0 !O!,1 500,389.8,70,,,,,,,,,,,,No,FUHRLÄNDER,FL MD 70,,65,03.07.2012
GAMESA G128 4500 128.0 !O!,4 500,349.7,128,120.0,92.1,98.3,103.3,106.5,107.5,106.7,106.5,106.5,,,Yes,GAMESA,G128,,120,31.01.2013
GAMESA G136 4500 136.0 !O!,4 500,309.8,136,,,,,,,,,,,,No,GAMESA,G136,,120,18.09.2018
JACOBS MD 70 1500 70.0 !O!,1 500,389.8,70,,,,,,,,,,,,No,JACOBS,MD 70,,65,22.03.2004
REpower 3.0M122 3000 122.0 !O!,3 000,256.6,122,,,,,,,,,,,,No,REpower,3.0M122,,89,10.03.2014
SENVION 3.0M122 3000 122.0 !O!,3 000,256.6,122,139.0,96.0,99.8,103.1,104.5,104.4,103.9,103.8,,,,Yes,SENVION,3.0M122,,139,19.01.2017
SENVION 3.2M122 NES 3200 122.0 !O!,3 200,273.7,122,89.0,95.5,98.9,103.4,105.5,105.5,105.2,104.9,104.7,,,Yes,SENVION,3.2M122 NES,,139,19.01.2017
